rank,name,value
1,Stephen Curry,4248
2,James Harden,3390
3,Ray Allen,2973
4,Klay Thompson,2899
5,Damian Lillard,2804
6,LeBron James,2636
7,Reggie Miller,2560
8,Kyle Korver,2450
9,Paul George,2449
10,Kevin Durant,2377
11,Vince Carter,2290
12,Jason Terry,2282
13,Jamal Crawford,2221
14,Kyle Lowry,2209
15,Buddy Hield,2201
16,CJ McCollum,2180
17,Paul Pierce,2143
18,Eric Gordon,2092
19,Tim Hardaway Jr.,2068
20,Jason Kidd,1988
21,Mike Conley,1986
22,Dirk Nowitzki,1982
23,Joe Johnson,1978
24,JJ Redick,1950
25,J.R. Smith,1930
26,Kyrie Irving,1876
27,Chris Paul,1870
28,Wesley Matthews,1845
29,Nicolas Batum,1842
29,Donovan Mitchell,1842
31,Chauncey Billups,1830
32,Kobe Bryant,1827
33,Rashard Lewis,1787
34,Peja Stojakovic,1760
35,Carmelo Anthony,1731
36,Kevin Love,1727
37,Bradley Beal,1724
38,Dale Ellis,1719
39,Jrue Holiday,1711
40,Steve Nash,1685
41,Kemba Walker,1670
42,Luka Doncic,1632
42,Zach LaVine,1632
44,D'Angelo Russell,1609
45,Jason Richardson,1608
46,Trevor Ariza,1605
47,Jayson Tatum,1593
48,Mike Miller,1590
49,Kentavious Caldwell-Pope,1588
50,Harrison Barnes,1578
51,Danny Green,1577
52,Glen Rice,1559
53,Devin Booker,1546
53,Eddie Jones,1546
53,Patty Mills,1546
56,Tim Hardaway,1542
57,Nick Van Exel,1528
58,Mike Bibby,1517
59,Bojan Bogdanovic,1511
60,Manu Ginobili,1495
60,Russell Westbrook,1495
62,Khris Middleton,1476
63,Jordan Clarkson,1472
64,Lou Williams,1457
65,Danilo Gallinari,1456
66,Michael Finley,1454
67,Malik Beasley,1453
68,Duncan Robinson,1422
69,Brent Barry,1395
70,Tobias Harris,1391
70,Jamal Murray,1391
72,Fred VanVleet,1386
72,Antoine Walker,1386
74,Dan Majerle,1360
75,Evan Fournier,1359
75,Kawhi Leonard,1359
77,Terry Rozier,1356
78,Baron Davis,1332
79,Terrence Ross,1329
80,Mitch Richmond,1326
81,Ryan Anderson,1325
82,Anthony Edwards,1314
83,Allan Houston,1305
84,Mike Dunleavy,1304
84,Trae Young,1304
86,Marcus Morris,1300
87,Terry Porter,1297
88,Andrew Wiggins,1285
89,Jaylen Brown,1284
90,Mookie Blaylock,1283
91,Bogdan Bogdanovic,1266
92,Robert Covington,1263
93,D.J. Augustin,1262
94,Lauri Markkanen,1257
95,Vernon Maxwell,1256
96,Clifford Robinson,1253
97,Stephen Jackson,1252
98,Shane Battier,1250
98,C.J. Miles,1250
100,Derek Fisher,1248
101,Hedo Turkoglu,1246
102,Dell Curry,1245
103,Jason Williams,1238
104,Damon Stoudamire,1236
105,Joe Ingles,1234
106,Jae Crowder,1232
107,Karl-Anthony Towns,1230
108,Hersey Hawkins,1226
109,John Starks,1222
110,Chuck Person,1220
111,Marco Belinelli,1216
112,Norman Powell,1215
113,Wayne Ellington,1214
113,Dennis Scott,1214
115,Jeff Green,1213
116,Brook Lopez,1189
117,Rudy Gay,1186
118,Deron Williams,1178
119,Kirk Hinrich,1172
120,Ben Gordon,1171
120,Reggie Jackson,1171
122,Quentin Richardson,1167
123,Antawn Jamison,1163
124,Donte DiVincenzo,1161
125,Metta World Peace,1154
126,Jameer Nelson,1153
126,Derrick White,1153
128,Goran Dragic,1150
128,Wesley Person,1150
130,Steve Smith,1148
131,Kevin Martin,1141
132,Royce O'Neale,1138
132,Gary Trent Jr.,1138
134,Dennis Schroder,1135
135,Mikal Bridges,1133
136,Gary Payton,1132
137,Kyle Kuzma,1128
138,Kevin Huerter,1123
138,David Wesley,1123
140,Anfernee Simons,1113
141,Gordon Hayward,1111
141,Jordan Poole,1111
143,Randy Foye,1104
143,Latrell Sprewell,1104
145,Coby White,1100
146,Marcus Smart,1099
147,Mo Williams,1094
148,Dana Barros,1090
149,Rasheed Wallace,1086
150,Cuttino Mobley,1085
151,Andre Iguodala,1081
151,Tracy McGrady,1081
153,Justin Holiday,1080
154,Gilbert Arenas,1079
155,Jerami Grant,1077
156,Lindsey Hunter,1075
157,Derek Harper,1070
158,Tyler Herro,1068
158,Kelly Oubre Jr.,1068
160,George Hill,1066
161,Malik Monk,1062
162,Allen Iverson,1059
163,Nick Anderson,1055
164,Al Horford,1050
165,Channing Frye,1049
165,Taurean Prince,1049
167,Marvin Williams,1046
168,Michael Redd,1045
169,Isaiah Thomas,1044
170,Richard Jefferson,1042
171,Nick Young,1039
172,Steve Blake,1037
173,James Posey,1035
174,Doug McDermott,1032
175,Joe Harris,1026
176,OG Anunoby,1020
176,Luke Kennard,1020
178,Dillon Brooks,1019
178,Darius Garland,1019
178,Michael Porter Jr.,1019
181,Grayson Allen,1014
182,Morris Peterson,1009
183,Danny Granger,1006
184,Kristaps Porzingis,1004
185,Danny Ainge,1002
186,Nikola Vucevic,998
187,Rafer Alston,996
188,Stephon Marbury,991
189,Joe Dumars,990
190,Leandro Barbosa,988
190,Jerry Stackhouse,988
192,Matt Barnes,982
193,Desmond Bane,979
194,Scottie Pippen,978
195,LaMelo Ball,977
195,Al Harrington,977
197,Mark Price,976
197,Walt Williams,976
199,Alec Burks,975
200,Patrick Beverley,973
200,Jalen Brunson,973
202,Vladimir Radmanovic,971
203,Spencer Dinwiddie,967
204,Gerald Green,962
204,Tim Thomas,962
206,Julius Randle,959
207,Seth Curry,957
208,Raja Bell,956
209,Michael Adams,949
210,Dorian Finney-Smith,947
211,De'Aaron Fox,946
212,Damon Jones,941
213,Anthony Peeler,940
214,Gary Harris,939
215,Voshon Lenard,936
216,Chucky Atkins,934
217,Kelly Olynyk,932
218,Nikola Jokic,926
219,Raymond Felton,925
220,Darrell Armstrong,923
221,Jose Calderon,920
221,George McCloud,920
223,Tyrese Maxey,916
224,Brandon Jennings,914
225,Rasual Butler,911
226,Myles Turner,903
227,Donyell Marshall,902
228,Cameron Johnson,899
229,Will Barton,893
230,Davis Bertans,885
231,Jared Dudley,883
231,Ersan Ilyasova,883
231,Georges Niang,883
234,Jim Jackson,881
235,Miles Bridges,880
235,P.J. Tucker,880
237,Reggie Bullock,879
238,Courtney Lee,876
239,Wilson Chandler,874
240,Payton Pritchard,873
240,Josh Richardson,873
242,Bobby Portis,872
243,Ben McLemore,868
244,Eric Piatkowski,865
244,Anthony Tolliver,865
246,Luguentz Dort,862
247,Avery Bradley,859
248,Immanuel Quickley,857
249,Tyrese Haliburton,856
250,Eric Bledsoe,854
250,O.J. Mayo,854
252,Arron Afflalo,852
253,Jalen Green,850
254,Sam Perkins,849
255,John Stockton,845
256,Draymond Green,843
257,Caris LeVert,839
258,Devin Harris,832
259,Jeff Hornacek,828
260,Clyde Drexler,827
261,Aaron Gordon,823
261,Landry Shamet,823
263,Brandon Ingram,822
264,Aaron Brooks,820
265,J.J. Barea,819
266,Bruce Bowen,818
267,Eddie House,817
268,Chris Mullin,815
269,Trey Murphy III,814
269,Victor Oladipo,814
271,Nickeil Alexander-Walker,811
271,Nate Robinson,811
273,Anthony Morrow,807
274,Rex Chapman,805
274,Doug Christie,805
276,Saddiq Bey,801
277,Matt Bonner,797
277,Pascal Siakam,797
279,Robert Horry,795
280,Shawn Marion,791
281,Martell Webster,790
282,Austin Rivers,789
283,Jaren Jackson Jr.,788
284,Devin Vassell,782
285,James Jones,776
286,Jodie Meeks,775
286,Byron Scott,775
288,Rick Fox,771
289,Devonte' Graham,767
289,Jamal Mashburn,767
291,Isaiah Joe,765
292,P.J. Washington,756
293,Mario Chalmers,755
294,Tracy Murray,753
295,Malcolm Brogdon,752
295,Josh Hart,752
297,Caron Butler,746
297,Jalen Rose,746
299,Max Strus,742
300,RJ Barrett,739
301,Monta Ellis,737
302,Marcus Thornton,735
303,Mark Jackson,734
304,Tyus Jones,732
305,Toni Kukoc,731
305,Naz Reid,731
307,Shai Gilgeous-Alexander,729
308,Hubert Davis,728
308,Tony Snell,728
310,Steve Kerr,726
310,John Salmons,726
312,Collin Sexton,723
312,Garrett Temple,723
314,Bryn Forbes,720
314,Sam Hauser,720
316,Jimmy Butler,716
316,Charlie Villanueva,716
318,Brandon Knight,715
319,Keith Bogans,714
319,Cedi Osman,714
321,Dominique Wilkins,711
322,Jeff Teague,708
323,Lonzo Ball,702
323,Pat Connaughton,702
325,Kent Bazemore,694
325,Kerry Kittles,694
327,Rodney Rogers,690
328,Bobby Jackson,689
329,Mike James,687
329,Chandler Parsons,687
331,Bryon Russell,685
332,Otto Porter Jr.,684
333,Keldon Johnson,679
333,Mickael Pietrus,679
335,Carlos Delfino,678
336,Danny Ferry,677
337,Sam Cassell,672
338,Isaiah Rider,667
339,Corey Kispert,666
340,Lamar Odom,664
340,Kenny Smith,664
342,DeMar DeRozan,662
342,De'Andre Hunter,662
344,Markieff Morris,659
345,DeMarre Carroll,658
345,Luol Deng,658
347,Jon Barry,657
348,John Wall,651
349,Larry Bird,649
349,Chris Duhon,649
351,Rodney Hood,647
352,Trey Lyles,646
