rank,name,value
1,"Wilt Chamberlain",23924
2,"Bill Russell",21620
3,"Kareem Abdul-Jabbar",17440
4,"Elvin Hayes",16279
5,"Moses Malone",16212
6,"Tim Duncan",15091
7,"Karl Malone",14968
8,"Robert Parish",14715
9,"Kevin Garnett",14662
10,"Dwight Howard",14627
11,"Nate Thurmond",14464
12,"Walt Bellamy",14241
13,"Wes Unseld",13769
14,"Hakeem Olajuwon",13748
15,"Shaquille O'Neal",13099
16,"Buck Williams",13017
17,"Jerry Lucas",12942
18,"Bob Pettit",12849
19,"Charles Barkley",12546
20,"Dikembe Mutombo",12359
21,"Paul Silas",12357
22,"Charles Oakley",12205
23,"LeBron James",12095
24,"Dennis Rodman",11954
25,"Kevin Willis",11901
26,"Patrick Ewing",11607
27,"Andre Drummond",11513
28,"Dirk Nowitzki",11489
29,"Elgin Baylor",11463
30,"Pau Gasol",11305
31,"Dolph Schayes",11256
32,"Bill Bridges",11054
33,"DeAndre Jordan",10861
34,"Jack Sikma",10816
35,"Nikola Vučević",10707
36,"Rudy Gobert",10572
37,"David Robinson",10497
38,"Ben Wallace",10482
39,"Tyson Chandler",10467
40,"Dave Cowens",10444
41,"Bill Laimbeer",10400
42,"Otis Thorpe",10370
43,"Zach Randolph",10208
44,"Shawn Marion",10101
45,"Red Kerr",10092
46,"Kevin Love",9712
47,"Bob Lanier",9698
48,"Sam Lacey",9687
49,"Dave DeBusschere",9618
50,"Marcus Camby",9513
51,"A.C. Green",9473
52,"Horace Grant",9443
53,"Bailey Howell",9383
54,"Vlade Divac",9326
55,"Al Horford",9162
56,"Artis Gilmore",9161
57,"Johnny Green",9083
58,"Jonas Valančiūnas",9052
59,"Elton Brand",9040
60,"Russell Westbrook",9025
61,"Nikola Jokić",8977
62,"Larry Bird",8974
63,"Giannis Antetokounmpo",8882
64,"Shawn Kemp",8834
65,"LaMarcus Aldridge",8736
66,"Jason Kidd",8725
67,"Leroy Ellis",8709
68,"Michael Cage",8646
69,"Anthony Davis",8637
70,"Terry Cummings",8630
71,"Dale Davis",8605
72,"Willis Reed",8414
73,"P.J. Brown",8409
74,"Kevin Durant",8254
75,"Carlos Boozer",8192
76,"Antawn Jamison",8157
77,"Larry Smith",8125
78,"Chris Webber",8124
79,"Lamar Odom",8059
80,"Bob McAdoo",8048
81,"Larry Foust",8041
82,"Karl-Anthony Towns",8025
83,"Happy Hairston",8019
84,"John Havlicek",8007
85,"Carmelo Anthony",7808
86,"Oscar Robertson",7804
87,"Al Jefferson",7690
88,"Paul Millsap",7673
89,"Sam Perkins",7666
90,"Caldwell Jones",7663
