rank,name,value
1,Wayne Gretzky,1963
2,Ron Francis,1249
3,Mark Messier,1193
4,Ray Bourque,1169
5,Jaromír Jágr,1155
6,Paul Coffey,1135
7,Joe Thornton,1109
8,Sidney Crosby,1107
9,Adam Oates,1079
10,Steve Yzerman,1063
11,Gordie Howe,1049
12,Marcel Dionne,1040
13,Mario Lemieux,1033
14,Joe Sakic,1016
15,Doug Gilmour,964
16,Mark Recchi,956
17,Al MacInnis,934
18,Larry Murphy,929
19,Stan Mikita,926
20,Bryan Trottier,901
21,Phil Housley,894
22,Patrick Kane,892
23,Dale Hawerchuk,891
24,Nicklas Lidström,878
25,Evgeni Malkin,874
26,Phil Esposito,873
27,Denis Savard,865
28,Anže Kopitar,864
29,Bobby Clarke,852
30,Henrik Sedin,830
31,Alex Delvecchio,825
32,Gilbert Perreault,814
33,Johnny Bucyk,813
33,Mike Modano,813
35,Pierre Turgeon,812
36,Connor McDavid,811
37,Jari Kurri,797
38,Guy Lafleur,793
39,Peter Šťastný,789
40,Claude Giroux,786
41,Mats Sundin,785
42,Brian Leetch,781
43,Jean Ratelle,776
44,Vincent Damphousse,773
44,Teemu Selänne,773
46,Chris Chelios,763
47,Nicklas Bäckström,762
48,Bernie Federko,761
49,Alex Ovechkin,758
50,Doug Weight,755
51,Larry Robinson,750
52,Denis Potvin,742
53,Norm Ullman,739
54,Ryan Getzlaf,737
55,Bernie Nicholls,734
56,Rod Brind'Amour,732
57,Luc Robitaille,726
58,Nikita Kucherov,723
59,Nathan MacKinnon,722
60,Erik Karlsson,721
61,Daniel Alfredsson,713
62,Jean Béliveau,712
62,Scott Stevens,712
64,Jeremy Roenick,703
65,Dave Andreychuk,698
65,Brendan Shanahan,698
67,Dale Hunter,697
68,Sergei Fedorov,696
69,Henri Richard,688
70,Brad Park,683
71,Bobby Smith,679
71,Ray Whitney,679
73,Jarome Iginla,675
74,Brent Burns,672
75,John Tavares,660
76,Brett Hull,650
77,Daniel Sedin,648
78,Bobby Orr,645
79,Martin St. Louis,642
80,Gary Suter,641
81,Victor Hedman,639
82,Dave Taylor,638
83,Börje Salming,637
83,Darryl Sittler,637
85,Peter Forsberg,636
86,Neal Broten,634
86,Brad Richards,634
88,Theo Fleury,633
89,Jason Spezza,632
89,Steven Stamkos,632
91,Patrick Marleau,631
92,Kris Letang,628
93,Mike Gartner,627
94,Andy Bathgate,624
94,Artemi Panarin,624
96,Henrik Zetterberg,623
97,Blake Wheeler,622
98,Leon Draisaitl,619
98,Sergei Zubov,619
100,Patrik Eliáš,617
101,John Carlson,615
101,Rod Gilbert,615
103,Patrice Bergeron,613
104,Marián Hossa,609
105,Eric Staal,608
106,Michel Goulet,605
107,Pavel Datsyuk,604
108,Kirk Muller,602
109,Glenn Anderson,601
110,Alex Kovalev,599
111,Dino Ciccarelli,592
111,Joe Pavelski,592
113,Sergei Gonchar,591
114,Dave Keon,590
114,Doug Wilson,590
116,Ryan Suter,589
117,Paul Kariya,587
118,Brad Marchand,583
118,Jakub Voráček,583
120,Dave Babych,581
121,Alex Tanguay,580
122,Phil Kessel,579
122,Brian Propp,579
124,Jamie Benn,578
125,Saku Koivu,577
126,Roman Josi,576
126,Mitch Marner,576
128,Scott Gomez,575
129,Steve Larmer,571
130,Shane Doan,570
130,Frank Mahovlich,570
130,Ryan O'Reilly,570
133,Scott Niedermayer,568
134,Mike Ribeiro,565
135,Craig Janney,563
135,Cliff Ronning,563
