rank,name,value
1,Martin Brodeur,28928
2,Roberto Luongo,28409
3,Marc-André Fleury,27188
4,Patrick Roy,25800
5,Tony Esposito,24761
6,Curtis Joseph,24279
7,Henrik Lundqvist,23509
8,Ed Belfour,22433
9,John Vanbiesbrouck,22206
10,Ryan Miller,21665
11,Grant Fuhr,21620
12,Gilles Meloche,21140
13,Sergei Bobrovsky,21022
14,Sean Burke,21003
15,Jonathan Quick,20329
16,Nikolai Khabibulin,20258
17,Rogie Vachon,19882
18,Craig Anderson,19846
19,Tom Barrasso,19695
20,Carey Price,19304
21,Dominik Hašek,18648
22,Tomáš Vokoun,18625
23,Cam Ward,18259
24,Olaf Kölzig,18233
25,Kelly Hrudey,18137
26,Mike Smith,17869
27,Mike Vernon,17789
28,Pekka Rinne,17627
29,Mike Richter,17379
30,Kari Lehtonen,17258
31,Billy Smith,17230
32,Andy Moog,17226
33,Glenn Hall,17083
34,Semyon Varlamov,17053
35,Connor Hellebuyck,17045
36,Chris Osgood,16861
37,Evgeni Nabokov,16768
38,Dan Bouchard,16683
39,Mike Liut,16665
40,Don Beaupre,16524
41,José Théodore,16348
42,Bill Ranford,16230
43,Cesare Maniago,16212
44,Félix Potvin,16170
45,Andrei Vasilevskiy,16122
46,Bernie Parent,16069
47,Eddie Johnston,15888
48,Greg Millen,15722
49,Miikka Kiprusoff,15614
50,Ed Giacomin,15452
51,Dwayne Roloson,15390
52,John Gibson,15350
53,Jaroslav Halák,15004
54,Kirk McLean,14967
55,Jean-Sébastien Giguère,14902
56,Ken Wregget,14749
57,Cam Talbot,14747
58,Jacob Markström,14702
59,Jacques Plante,14671
60,Ron Hextall,14634
61,Frederik Andersen,14476
62,Glenn Resch,14403
63,Tuukka Rask,14345
64,Gump Worsley,14326
65,James Reimer,14233
66,Jocelyn Thibault,14198
67,Devan Dubnyk,14194
68,Gary Smith,14104
69,Jimmy Howard,13970
70,Braden Holtby,13610
71,Artūrs Irbe,13520
72,Roger Crozier,13414
73,Guy Hebert,13093
74,Brian Elliott,12961
75,Corey Crawford,12778
76,Ron Tugnutt,12703
77,Denis Herron,12676
78,Juuse Saros,12650
79,Martin Biron,12646
80,Jake Allen,12602
81,Jeff Hackett,12512
82,Darcy Kuemper,12410
83,Steve Mason,12348
84,Johnny Bower,12340
85,Tommy Salo,12295
86,Réjean Lemelin,12272
87,Marty Turco,12231
88,Ilya Bryzgalov,11870
89,Glen Hanlon,11843
90,Tim Thomas,11795
91,Antti Niemi,11589
92,Jim Rutherford,11512
93,Martin Jones,11444
94,Don Edwards,11380
95,Phil Myre,11320
96,Petr Mrázek,11116
97,Pete Peeters,11092
98,Bob Essensa,10829
99,Glenn Healy,10684
100,Gerry Cheevers,10643
101,Jonathan Bernier,10640
102,Cory Schneider,10568
103,Daren Puppa,10472
104,Ben Bishop,10457
105,Ondřej Pavelec,10425
106,Niklas Bäckström,10417
107,Doug Favell,10388
108,Patrick Lalime,10285
109,Jonas Hiller,10262
110,Ken Dryden,10213
111,Robin Lehner,10202
112,Terry Sawchuk,10083
113,Stéphane Fiset,9964
114,Jon Casey,9908
115,Byron Dafoe,9846
116,Gilles Gilbert,9772
117,Ron Low,9729
118,Mike Dunham,9712
119,Bob Sauvé,9675
120,Philipp Grubauer,9664
121,Jordan Binnington,9626
122,Richard Brodeur,9615
123,Rick Wamsley,9540
124,Bruce Gamble,9499
125,Chris Terreri,9475
126,Mike Palmateer,9422
127,Thomas Greiss,9258
128,Trevor Kidd,9223
129,Marc Denis,9062
130,Johan Hedberg,8941
131,Linus Ullmark,8917
132,Igor Shesterkin,8738
133,Gerry Desjardins,8632
134,Brian Hayward,8602
135,Denis DeJordy,8573
136,Peter Budaj,8542
137,Joonas Korpisalo,8483
138,Clint Malarchuk,8474
139,Tim Cheveldae,8413
140,Garth Snow,8373
141,Kevin Weekes,8359
142,Manny Legace,8342
143,Ilya Sorokin,8313
