rank,name,value
1,Martin Brodeur,691
2,Marc-André Fleury,575
3,Patrick Roy,551
4,Roberto Luongo,489
5,Ed Belfour,484
6,Henrik Lundqvist,459
7,Sergei Bobrovsky,456
8,Curtis Joseph,454
9,Tony Esposito,423
10,Jonathan Quick,410
11,Grant Fuhr,403
12,Chris Osgood,401
13,Ryan Miller,391
14,Dominik Hašek,389
15,Mike Vernon,385
16,John Vanbiesbrouck,374
17,Andy Moog,372
18,Andrei Vasilevskiy,370
19,Tom Barrasso,369
19,Pekka Rinne,369
21,Carey Price,361
22,Evgeni Nabokov,353
22,Rogie Vachon,353
24,Connor Hellebuyck,345
25,Cam Ward,334
26,Nikolai Khabibulin,333
27,Frederik Andersen,324
27,Sean Burke,324
29,Craig Anderson,319
29,Miikka Kiprusoff,319
31,Kari Lehtonen,310
32,Tuukka Rask,308
33,Billy Smith,305
34,Olaf Kölzig,303
35,Mike Richter,301
36,Tomáš Vokoun,300
37,Braden Holtby,299
37,Mike Smith,299
39,Ron Hextall,296
40,Jaroslav Halák,295
41,Mike Liut,293
42,Ed Giacomin,290
43,Semyon Varlamov,289
44,Dan Bouchard,286
44,José Théodore,286
46,Glenn Hall,281
47,Brian Elliott,279
48,Cam Talbot,278
49,Marty Turco,275
50,Kelly Hrudey,271
50,Bernie Parent,271
52,Gilles Meloche,270
53,Don Beaupre,268
54,Félix Potvin,266
55,Jacob Markström,264
56,Jean-Sébastien Giguère,262
57,Corey Crawford,260
58,Ken Dryden,258
59,Devan Dubnyk,253
60,Jacques Plante,250
61,Jimmy Howard,246
61,Pete Peeters,246
63,Kirk McLean,245
64,Antti Niemi,242
65,Bill Ranford,240
66,Jocelyn Thibault,238
67,Eddie Johnston,236
67,Martin Jones,236
67,Réjean Lemelin,236
70,John Gibson,233
71,James Reimer,232
72,Glenn Resch,231
73,Martin Biron,230
73,Juuse Saros,230
75,Darcy Kuemper,228
76,Gerry Cheevers,227
76,Dwayne Roloson,227
78,Jake Allen,225
78,Ken Wregget,225
80,Ben Bishop,222
81,Ilya Bryzgalov,221
82,Artūrs Irbe,218
83,Greg Millen,215
84,Tim Thomas,214
85,Tommy Salo,210
86,Don Edwards,208
87,Roger Crozier,206
88,Steve Mason,205
89,Johnny Bower,204
89,Rick Wamsley,204
91,Patrick Lalime,200
91,Gump Worsley,200
93,Jonas Hiller,197
94,Niklas Bäckström,196
95,Gilles Gilbert,192
96,Guy Hebert,191
96,Linus Ullmark,191
98,Cesare Maniago,190
99,Manny Legace,187
99,Igor Shesterkin,187
101,Jordan Binnington,186
101,Ron Tugnutt,186
103,Jake Oettinger,184
104,Petr Mrázek,183
105,Bob Sauvé,182
106,Philipp Grubauer,179
106,Daren Puppa,179
108,Gary Smith,174
109,Bob Essensa,173
110,Byron Dafoe,171
110,Cory Schneider,171
112,Jon Casey,170
112,Tristan Jarry,170
114,Glen Hanlon,167
115,Jeff Hackett,166
115,Glenn Healy,166
117,Jonathan Bernier,165
118,Stéphane Fiset,164
119,Thomas Greiss,162
120,Johan Hedberg,161
121,Michel Larocque,160
122,Roman Turek,159
123,Peter Budaj,158
124,Ondřej Pavelec,156
125,Terry Sawchuk,154
125,Ilya Sorokin,154
127,Pat Riggin,153
128,Robin Lehner,152
129,Alexandar Georgiev,151
129,Jim Rutherford,151
129,Chris Terreri,151
132,Tim Cheveldae,149
132,Phil Myre,149
132,Mike Palmateer,149
135,Matt Murray,147
136,Denis Herron,146
136,Wayne Stephenson,146
138,Ray Emery,145
139,Mathieu Garon,144
140,Manny Fernandez,143
140,Brian Hayward,143
142,Mike Dunham,141
142,Clint Malarchuk,141
144,Brent Johnson,140
144,Trevor Kidd,140
144,Joonas Korpisalo,140
147,Dan Cloutier,139
147,Antti Raanta,139
149,Charlie Hodge,138
150,Chris Mason,137
151,Garth Snow,135
152,Thatcher Demko,134
153,Jeremy Swayman,132
154,Richard Brodeur,131
155,Rick DiPietro,130
156,Cristobal Huet,129
156,Roland Melanson,129
156,Vesa Toskala,129
159,Bob Froese,128
160,Mackenzie Blackwood,126
161,Doug Favell,124
162,John Davidson,123
162,Gerry Desjardins,123
164,David Rittich,122
165,Stuart Skinner,121
166,Brian Boucher,120
166,Denis DeJordy,120
168,Ilya Samsonov,118
168,Logan Thompson,118
170,Murray Bannerman,116
171,Greg Stefan,115
172,Anton Khudobin,114
173,Mark Fitzpatrick,113
173,Martin Gerber,113
173,Andrew Raycroft,113
176,Marc Denis,112
176,Steve Weeks,112
178,Bruce Gamble,111
178,Filip Gustavsson,111
180,Craig Billington,110
180,Roman Čechmánek,110
180,Doug Soetaert,110
183,Elvis Merzļikins,108
183,Karel Vejmelka,108
185,Carter Hart,107
186,David Aebischer,106
186,Adin Hill,106
188,Michal Neuvirth,105
188,Kevin Weekes,105
190,Wayne Thomas,103
191,Ron Low,102
192,Vítek Vaněček,101
193,Gilles Villemure,100
194,Casey DeSmith,99
194,Damian Rhodes,99
196,John Grahame,97
197,Ty Conklin,96
197,Roy Edwards,96
197,Doug Keans,96
200,Al Jensen,95
200,Antero Niittymäki,95
202,Carter Hutton,94
202,Curtis McElhinney,94
204,Jack Campbell,93
204,Ukko-Pekka Luukkonen,93
204,Rick Tabaracci,93
204,Scott Wedgewood,93
208,Mario Lessard,92
208,Alex Nedeljkovic,92
208,Michel Plasse,92
211,Alex Auld,91
211,Alain Chevrier,91
211,Mario Gosselin,91
214,Anton Forsberg,90
214,Sam Montembeault,90
216,Gary Edwards,88
217,Dan Ellis,87
217,Pelle Lindbergh,87
219,Mikko Koskinen,85
219,Vincent Riendeau,85
219,Jamie Storr,85
222,Jacques Cloutier,82
222,Charlie Lindgren,82
224,Daniel Berthiaume,81
224,Fred Brathwaite,81
224,Ville Husso,81
224,Kevin Lankinen,81
228,Jean-Sébastien Aubin,80
228,Chad Johnson,80
228,Jamie McLennan,80
228,Richard Sévigny,80
228,Steve Shields,80
228,Dunc Wilson,80
234,Jim Carey,79
234,Peter Sidorkiewicz,79
236,Robert Esche,78
236,Daniel Vladař,78
238,Dominic Roussel,77
239,Calvin Pickard,74
239,Anthony Stolarz,74
241,Allan Bester,73
241,Scott Clemmensen,73
241,Al Smith,73
244,Lukáš Dostál,72
244,Jonas Gustavsson,72
246,Pyotr Kochetkov,71
246,Alex Lyon,71
248,Keith Kinkaid,70
248,Alex Stalock,70
250,Joey Daccord,69
250,Dave Dryden,69
252,John Garrett,68
252,Spencer Knight,68
254,Al Montoya,67
254,Ed Staniowski,67
254,Darcy Wakaluk,67
257,Samuel Ersson,65
258,Laurent Brossoit,64
258,Eddie Mio,64
260,Joseph Woll,63
