rank,name,value
1,Alex Ovechkin,929
2,Wayne Gretzky,894
3,Gordie Howe,801
4,Jaromír Jágr,766
5,Brett Hull,741
6,Marcel Dionne,731
7,Phil Esposito,717
8,Mike Gartner,708
9,Mark Messier,694
10,Steve Yzerman,692
11,Mario Lemieux,690
12,Teemu Selänne,684
13,Luc Robitaille,668
14,Brendan Shanahan,656
15,Sidney Crosby,654
16,Dave Andreychuk,640
17,Jarome Iginla,625
17,Joe Sakic,625
19,Steven Stamkos,624
20,Bobby Hull,610
21,Dino Ciccarelli,608
22,Jari Kurri,601
23,Mark Recchi,577
24,Mike Bossy,573
25,Patrick Marleau,566
26,Joe Nieuwendyk,564
26,Mats Sundin,564
28,Mike Modano,561
29,Guy Lafleur,560
30,Johnny Bucyk,556
31,Ron Francis,549
32,Michel Goulet,548
33,Maurice Richard,544
34,Stan Mikita,541
35,Keith Tkachuk,538
36,Frank Mahovlich,533
36,Evgeni Malkin,533
38,Marián Hossa,525
38,John Tavares,525
40,Bryan Trottier,524
41,Pat Verbeek,522
42,Dale Hawerchuk,518
43,Pierre Turgeon,515
44,Jeremy Roenick,513
45,Gilbert Perreault,512
46,Patrick Kane,508
47,Jean Béliveau,507
48,Peter Bondra,503
49,Joe Mullen,502
50,Lanny McDonald,500
51,Glenn Anderson,498
52,Jean Ratelle,491
53,Norm Ullman,490
54,Brian Bellows,485
55,Darryl Sittler,484
56,Sergei Fedorov,483
57,Joe Pavelski,476
58,Bernie Nicholls,475
59,Alexander Mogilny,473
59,Denis Savard,473
61,Pat LaFontaine,468
62,Corey Perry,465
63,Alex Delvecchio,456
64,Theo Fleury,455
64,Eric Staal,455
66,Rod Brind'Amour,452
66,Anže Kopitar,452
68,Brad Marchand,451
69,Doug Gilmour,450
69,Peter Šťastný,450
71,Rick Middleton,448
72,Daniel Alfredsson,444
73,Ilya Kovalchuk,443
74,Jeff Carter,442
75,Steve Larmer,441
75,Rick Vaive,441
77,Rick Tocchet,440
