rank,name,value
1,Wayne Gretzky,2857
2,Jaromír Jágr,1921
3,Mark Messier,1887
4,Gordie Howe,1850
5,Ron Francis,1798
6,Marcel Dionne,1771
7,Sidney Crosby,1761
8,Steve Yzerman,1755
9,Mario Lemieux,1723
10,Alex Ovechkin,1687
11,Joe Sakic,1641
12,Phil Esposito,1590
13,Ray Bourque,1579
14,Joe Thornton,1539
15,Mark Recchi,1533
16,Paul Coffey,1531
17,Stan Mikita,1467
18,Teemu Selänne,1457
19,Bryan Trottier,1425
20,Adam Oates,1420
21,Doug Gilmour,1414
22,Dale Hawerchuk,1409
23,Evgeni Malkin,1407
24,Patrick Kane,1400
25,Jari Kurri,1398
26,Luc Robitaille,1394
27,Brett Hull,1391
28,Mike Modano,1374
29,Johnny Bucyk,1369
30,Brendan Shanahan,1354
31,Guy Lafleur,1353
32,Mats Sundin,1349
33,Dave Andreychuk,1338
33,Denis Savard,1338
35,Mike Gartner,1335
36,Pierre Turgeon,1327
37,Gilbert Perreault,1326
38,Anže Kopitar,1316
39,Jarome Iginla,1300
40,Alex Delvecchio,1281
41,Al MacInnis,1274
42,Jean Ratelle,1267
43,Steven Stamkos,1256
44,Peter Šťastný,1239
45,Phil Housley,1232
46,Norm Ullman,1229
47,Connor McDavid,1220
48,Jean Béliveau,1219
49,Larry Murphy,1217
50,Jeremy Roenick,1216
51,Bobby Clarke,1210
52,Bernie Nicholls,1209
53,Vincent Damphousse,1205
54,Dino Ciccarelli,1200
55,Patrick Marleau,1197
56,John Tavares,1185
57,Rod Brind'Amour,1184
58,Sergei Fedorov,1179
59,Bobby Hull,1170
60,Claude Giroux,1165
61,Daniel Alfredsson,1157
62,Michel Goulet,1153
63,Nicklas Lidström,1142
63,Nathan MacKinnon,1142
65,Marián Hossa,1134
66,Bernie Federko,1130
67,Mike Bossy,1126
67,Joe Nieuwendyk,1126
69,Nikita Kucherov,1124
70,Darryl Sittler,1121
71,Frank Mahovlich,1103
72,Glenn Anderson,1099
73,Theo Fleury,1088
74,Henrik Sedin,1070
75,Dave Taylor,1069
76,Joe Pavelski,1068
77,Keith Tkachuk,1065
78,Ray Whitney,1064
79,Joe Mullen,1063
79,Eric Staal,1063
81,Pat Verbeek,1062
82,Leon Draisaitl,1053
83,Denis Potvin,1052
84,Henri Richard,1046
85,Daniel Sedin,1041
86,Patrice Bergeron,1040
87,Bobby Smith,1036
88,Brad Marchand,1034
89,Nicklas Bäckström,1033
89,Martin St. Louis,1033
89,Doug Weight,1033
92,Alexander Mogilny,1032
93,Alex Kovalev,1029
94,Brian Leetch,1028
95,Patrik Eliáš,1025
96,Brian Bellows,1022
97,Rod Gilbert,1021
98,Dale Hunter,1020
99,Ryan Getzlaf,1019
100,Pat LaFontaine,1013
101,Steve Larmer,1012
102,Lanny McDonald,1006
103,Brian Propp,1004
104,Jason Spezza,995
105,Jamie Benn,992
105,Phil Kessel,992
107,Paul Kariya,989
108,Rick Middleton,988
109,Dave Keon,986
110,Andy Bathgate,973
111,Shane Doan,972
111,Corey Perry,972
